gene,term,description,domain
CHAFR746836.1.1_0078600.1,GO:0006508,proteolysis,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078600.1,GO:0004252,serine-type endopeptidase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0003630.1,GO:0004664,prephenate dehydratase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0003630.1,GO:0009094,L-phenylalanine biosynthetic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0003640.1,GO:0006468,protein phosphorylation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0003640.1,GO:0004672,protein kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0003640.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0003640.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0003640.1,GO:0004674,protein serine/threonine kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0003640.1,GO:0006446,regulation of translational initiation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0003640.1,GO:0042803,protein homodimerization activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0003640.1,GO:0016772,transferase activity, transferring phosphorus-containing groups,MOLECULAR_FUNCTION
CHAFR746836.1.1_0003650.1,GO:0006526,arginine biosynthetic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0003650.1,GO:0004358,glutamate N-acetyltransferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0003660.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0003660.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0003660.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078610.1,GO:0006508,proteolysis,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078610.1,GO:0004190,aspartic-type endopeptidase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078620.1,GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078620.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078640.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078640.1,GO:0003676,nucleic acid binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078640.1,GO:0004386,helicase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078640.1,GO:0008026,ATP-dependent helicase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078650.1,GO:0003896,DNA primase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078650.1,GO:0006269,DNA replication, synthesis of RNA primer,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078660.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078670.1,GO:0003676,nucleic acid binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078670.1,GO:0005622,intracellular,CELLULAR_COMPONENT
CHAFR746836.1.1_0078670.1,GO:0006139,nucleobase-containing compound metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078670.1,GO:0008408,3'-5' exonuclease activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078670.1,GO:0006396,RNA processing,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078670.1,GO:0000176,nuclear exosome (RNase complex),CELLULAR_COMPONENT
CHAFR746836.1.1_0078670.1,GO:0044237,cellular metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078670.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078670.1,GO:0000166,nucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078700.1,GO:0017176,phosphatidylinositol N-acetylglucosaminyltransferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078700.1,GO:0006506,GPI anchor biosynthetic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078700.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0078730.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078730.1,GO:0005634,nucleus,CELLULAR_COMPONENT
CHAFR746836.1.1_0078730.1,GO:0003677,DNA binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078730.1,GO:0006351,transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078730.1,GO:0006355,regulation of transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078730.1,GO:0000981,sequence-specific DNA binding RNA polymerase II transcription factor activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078750.1,GO:0016998,cell wall macromolecule catabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078770.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078770.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078780.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078780.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078840.1,GO:0006094,gluconeogenesis,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078840.1,GO:0004347,glucose-6-phosphate isomerase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078840.1,GO:0006096,glycolysis,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078850.1,GO:0006468,protein phosphorylation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078850.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078850.1,GO:0004674,protein serine/threonine kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078850.1,GO:0004672,protein kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078850.1,GO:0016772,transferase activity, transferring phosphorus-containing groups,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078860.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078860.1,GO:0003682,chromatin binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078860.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078860.1,GO:0003677,DNA binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078880.1,GO:0005634,nucleus,CELLULAR_COMPONENT
CHAFR746836.1.1_0078880.1,GO:0000981,sequence-specific DNA binding RNA polymerase II transcription factor activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078880.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078880.1,GO:0006355,regulation of transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078880.1,GO:0003677,DNA binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078880.1,GO:0006351,transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078890.1,GO:0006397,mRNA processing,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078890.1,GO:0000166,nucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078890.1,GO:0003676,nucleic acid binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078900.2,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078900.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078910.1,GO:0004518,nuclease activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078910.1,GO:0003676,nucleic acid binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078930.1,GO:0005488,binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078950.1,GO:0008889,glycerophosphodiester phosphodiesterase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078950.1,GO:0006071,glycerol metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078950.1,GO:0006629,lipid metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078950.1,GO:0008081,phosphoric diester hydrolase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078970.1,GO:0015079,potassium ion transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078970.1,GO:0071805,potassium ion transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078970.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0078980.1,GO:0003700,sequence-specific DNA binding transcription factor activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078980.1,GO:0005634,nucleus,CELLULAR_COMPONENT
CHAFR746836.1.1_0078980.1,GO:0006355,regulation of transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078980.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078980.1,GO:0006351,transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0078980.1,GO:0003677,DNA binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078980.1,GO:0000981,sequence-specific DNA binding RNA polymerase II transcription factor activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078990.1,GO:0005543,phospholipid binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0078990.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079010.1,GO:0003677,DNA binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079010.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079010.1,GO:0006351,transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079010.1,GO:0005634,nucleus,CELLULAR_COMPONENT
CHAFR746836.1.1_0079010.1,GO:0006355,regulation of transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079010.1,GO:0000981,sequence-specific DNA binding RNA polymerase II transcription factor activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079020.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079020.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079020.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079040.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079040.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0079050.1,GO:0051205,protein insertion into membrane,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079050.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0079060.1,GO:0005741,mitochondrial outer membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0079070.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079080.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0079080.1,GO:0071805,potassium ion transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079080.1,GO:0015079,potassium ion transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079080.1,GO:0006812,cation transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079080.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079080.1,GO:0008324,cation transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079100.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079100.1,GO:0016787,hydrolase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079110.1,GO:0007165,signal transduction,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079110.1,GO:0004871,signal transducer activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079140.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079140.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079150.1,GO:0008812,choline dehydrogenase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079150.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079150.1,GO:0050660,flavin adenine dinucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079150.1,GO:0006066,alcohol metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079150.1,GO:0016614,oxidoreductase activity, acting on CH-OH group of donors,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079170.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079170.1,GO:0006464,cellular protein modification process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079170.1,GO:0008641,small protein activating enzyme activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079170.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079180.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0079180.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079190.1,GO:0006511,ubiquitin-dependent protein catabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079200.1,GO:0016811,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079200.1,GO:0016884,carbon-nitrogen ligase activity, with glutamine as amido-N-donor,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079230.1,GO:0006396,RNA processing,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079230.1,GO:0005634,nucleus,CELLULAR_COMPONENT
CHAFR746836.1.1_0079240.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079250.1,GO:0019773,proteasome core complex, alpha-subunit complex,CELLULAR_COMPONENT
CHAFR746836.1.1_0079250.1,GO:0006511,ubiquitin-dependent protein catabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079250.1,GO:0004175,endopeptidase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079250.1,GO:0005839,proteasome core complex,CELLULAR_COMPONENT
CHAFR746836.1.1_0079250.1,GO:0051603,proteolysis involved in cellular protein catabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079250.1,GO:0004298,threonine-type endopeptidase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079260.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079260.1,GO:0050660,flavin adenine dinucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079260.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079260.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079260.1,GO:0008762,UDP-N-acetylmuramate dehydrogenase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079260.1,GO:0016614,oxidoreductase activity, acting on CH-OH group of donors,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079270.1,GO:0006508,proteolysis,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079270.1,GO:0008233,peptidase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079290.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0003710.1,GO:0005507,copper ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0003710.1,GO:0009055,electron carrier activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0003720.1,GO:0020037,heme binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079320.1,GO:0016787,hydrolase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079320.1,GO:0016810,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079320.2,GO:0016787,hydrolase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079320.2,GO:0016810,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079330.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0079330.1,GO:0006950,response to stress,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079340.1,GO:0004579,dolichyl-diphosphooligosaccharide-protein glycotransferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079340.1,GO:0018279,protein N-linked glycosylation via asparagine,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079340.1,GO:0005789,endoplasmic reticulum membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0079370.1,GO:0016787,hydrolase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079380.1,GO:0050660,flavin adenine dinucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079380.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079380.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079380.1,GO:0008762,UDP-N-acetylmuramate dehydrogenase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079380.1,GO:0016614,oxidoreductase activity, acting on CH-OH group of donors,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079380.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079390.1,GO:0016772,transferase activity, transferring phosphorus-containing groups,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079400.1,GO:0004553,hydrolase activity, hydrolyzing O-glycosyl compounds,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079400.1,GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079400.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079410.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0079410.1,GO:0003333,amino acid transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079410.1,GO:0015171,amino acid transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079420.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079420.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079440.1,GO:0035556,intracellular signal transduction,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079440.1,GO:0004435,phosphatidylinositol phospholipase C activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079440.1,GO:0006629,lipid metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079440.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079440.1,GO:0007165,signal transduction,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079440.1,GO:0008081,phosphoric diester hydrolase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079470.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079470.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079470.1,GO:0004386,helicase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079470.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079470.1,GO:0003676,nucleic acid binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079470.1,GO:0003677,DNA binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079500.1,GO:0016772,transferase activity, transferring phosphorus-containing groups,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079540.1,GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079540.1,GO:0004553,hydrolase activity, hydrolyzing O-glycosyl compounds,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079540.1,GO:0004565,beta-galactosidase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079540.1,GO:0009341,beta-galactosidase complex,CELLULAR_COMPONENT
CHAFR746836.1.1_0079540.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079540.1,GO:0030246,carbohydrate binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079550.1,GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079550.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079550.1,GO:0004553,hydrolase activity, hydrolyzing O-glycosyl compounds,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079580.1,GO:0008080,N-acetyltransferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079640.1,GO:0035023,regulation of Rho protein signal transduction,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079640.1,GO:0005089,Rho guanyl-nucleotide exchange factor activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079640.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079640.1,GO:0005543,phospholipid binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079650.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079650.1,GO:0030833,regulation of actin filament polymerization,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079650.1,GO:0005885,Arp2/3 protein complex,CELLULAR_COMPONENT
CHAFR746836.1.1_0079650.1,GO:0005856,cytoskeleton,CELLULAR_COMPONENT
CHAFR746836.1.1_0079650.1,GO:0034314,Arp2/3 complex-mediated actin nucleation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079670.1,GO:0003735,structural constituent of ribosome,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079670.1,GO:0005840,ribosome,CELLULAR_COMPONENT
CHAFR746836.1.1_0079670.1,GO:0008097,5S rRNA binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079670.1,GO:0005622,intracellular,CELLULAR_COMPONENT
CHAFR746836.1.1_0079670.1,GO:0006412,translation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079680.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079690.1,GO:0005506,iron ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079690.1,GO:0016712,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079690.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079690.1,GO:0020037,heme binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079690.1,GO:0016705,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079700.1,GO:0016758,transferase activity, transferring hexosyl groups,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079710.1,GO:0016616,oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079710.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079710.1,GO:0016628,oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079710.1,GO:0000271,polysaccharide biosynthetic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079710.1,GO:0051287,NAD binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079720.1,GO:0005507,copper ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079720.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079720.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079750.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079760.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079800.1,GO:0004553,hydrolase activity, hydrolyzing O-glycosyl compounds,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079800.1,GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079800.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079810.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079810.1,GO:0006355,regulation of transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079810.1,GO:0000981,sequence-specific DNA binding RNA polymerase II transcription factor activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079810.1,GO:0005634,nucleus,CELLULAR_COMPONENT
CHAFR746836.1.1_0079820.1,GO:0005576,extracellular region,CELLULAR_COMPONENT
CHAFR746836.1.1_0079830.1,GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079830.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079830.1,GO:0030246,carbohydrate binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079840.1,GO:0015116,sulfate transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079840.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0079840.1,GO:0008272,sulfate transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079840.1,GO:0008271,secondary active sulfate transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079840.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0079840.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079870.1,GO:0050660,flavin adenine dinucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079870.1,GO:0008762,UDP-N-acetylmuramate dehydrogenase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079870.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079870.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079870.1,GO:0016614,oxidoreductase activity, acting on CH-OH group of donors,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079870.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079880.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079880.1,GO:0016627,oxidoreductase activity, acting on the CH-CH group of donors,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079880.1,GO:0003995,acyl-CoA dehydrogenase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079880.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079880.1,GO:0050660,flavin adenine dinucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079890.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079890.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079900.1,GO:0004553,hydrolase activity, hydrolyzing O-glycosyl compounds,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079900.1,GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0079910.1,GO:0042578,phosphoric ester hydrolase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079920.1,GO:0005525,GTP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0079920.1,GO:0007264,small GTPase mediated signal transduction,BIOLOGICAL_PROCESS
